x-axis,,
second,Geoscope,Accelerometer
-5.00E+00,-4.12E-03,3.87E-03
-5.00E+00,-4.12E-03,3.87E-03
-4.99E+00,-4.12E-03,2.00E-02
-4.99E+00,3.92E-03,2.00E-02
-4.98E+00,3.92E-03,2.00E-02
-4.98E+00,3.92E-03,1.19E-02
-4.97E+00,-4.12E-03,1.19E-02
-4.97E+00,-4.12E-03,3.87E-03
-4.96E+00,-4.12E-03,2.00E-02
-4.96E+00,3.92E-03,1.19E-02
-4.95E+00,3.92E-03,1.19E-02
-4.95E+00,-4.12E-03,1.19E-02
-4.94E+00,-4.12E-03,1.19E-02
-4.94E+00,-4.12E-03,2.00E-02
-4.93E+00,3.92E-03,2.00E-02
-4.93E+00,3.92E-03,2.00E-02
-4.92E+00,3.92E-03,1.19E-02
-4.92E+00,-1.22E-02,-4.17E-03
-4.91E+00,-1.22E-02,-4.17E-03
-4.91E+00,-4.12E-03,3.60E-02
-4.90E+00,3.92E-03,2.80E-02
-4.90E+00,1.20E-02,3.87E-03
-4.89E+00,3.92E-03,3.87E-03
-4.89E+00,-4.12E-03,3.87E-03
-4.88E+00,-4.12E-03,1.19E-02
-4.88E+00,-4.12E-03,3.87E-03
-4.87E+00,3.92E-03,2.80E-02
-4.87E+00,3.92E-03,1.19E-02
-4.86E+00,-4.12E-03,3.87E-03
-4.86E+00,-1.22E-02,1.19E-02
-4.85E+00,-4.12E-03,2.00E-02
-4.85E+00,3.92E-03,2.00E-02
-4.84E+00,1.20E-02,1.19E-02
-4.84E+00,3.92E-03,1.19E-02
-4.83E+00,-4.12E-03,3.87E-03
-4.83E+00,-1.22E-02,-4.17E-03
-4.82E+00,-1.22E-02,3.87E-03
-4.82E+00,-4.12E-03,2.80E-02
-4.81E+00,3.92E-03,2.80E-02
-4.81E+00,3.92E-03,3.87E-03
-4.80E+00,-4.12E-03,-4.17E-03
-4.80E+00,-4.12E-03,-4.17E-03
-4.79E+00,-4.12E-03,1.19E-02
-4.79E+00,-4.12E-03,2.00E-02
-4.78E+00,3.92E-03,2.00E-02
-4.78E+00,3.92E-03,3.87E-03
-4.77E+00,3.92E-03,1.19E-02
-4.77E+00,-4.12E-03,1.19E-02
-4.76E+00,-4.12E-03,1.19E-02
-4.76E+00,3.92E-03,2.00E-02
-4.75E+00,3.92E-03,2.00E-02
-4.75E+00,-4.12E-03,3.87E-03
-4.74E+00,-4.12E-03,3.87E-03
-4.74E+00,-1.22E-02,3.87E-03
-4.73E+00,-1.22E-02,1.19E-02
-4.73E+00,-4.12E-03,2.00E-02
-4.72E+00,3.92E-03,1.19E-02
-4.72E+00,3.92E-03,1.19E-02
-4.71E+00,3.92E-03,1.19E-02
-4.71E+00,3.92E-03,1.19E-02
-4.70E+00,-4.12E-03,1.19E-02
-4.70E+00,3.92E-03,1.19E-02
-4.69E+00,-4.12E-03,3.87E-03
-4.69E+00,-4.12E-03,1.19E-02
-4.68E+00,3.92E-03,1.19E-02
-4.68E+00,3.92E-03,1.19E-02
-4.67E+00,3.92E-03,1.19E-02
-4.67E+00,3.92E-03,1.19E-02
-4.66E+00,-4.12E-03,1.19E-02
-4.66E+00,-4.12E-03,2.00E-02
-4.65E+00,-4.12E-03,1.19E-02
-4.65E+00,-4.12E-03,1.19E-02
-4.64E+00,-4.12E-03,1.19E-02
-4.64E+00,-4.12E-03,1.19E-02
-4.63E+00,-4.12E-03,1.19E-02
-4.63E+00,3.92E-03,2.00E-02
-4.62E+00,3.92E-03,1.19E-02
-4.62E+00,3.92E-03,1.19E-02
-4.61E+00,-4.12E-03,1.19E-02
-4.61E+00,-4.12E-03,3.87E-03
-4.60E+00,-4.12E-03,3.87E-03
-4.60E+00,-4.12E-03,1.19E-02
-4.59E+00,-4.12E-03,1.19E-02
-4.59E+00,3.92E-03,2.00E-02
-4.58E+00,3.92E-03,1.19E-02
-4.58E+00,3.92E-03,1.19E-02
-4.57E+00,3.92E-03,3.87E-03
-4.57E+00,-4.12E-03,1.19E-02
-4.56E+00,-4.12E-03,1.19E-02
-4.56E+00,-4.12E-03,-4.17E-03
-4.55E+00,-4.12E-03,-4.17E-03
-4.55E+00,-1.22E-02,-4.17E-03
-4.54E+00,-1.22E-02,3.87E-03
-4.54E+00,3.92E-03,1.19E-02
-4.53E+00,3.92E-03,1.19E-02
-4.53E+00,3.92E-03,3.87E-03
-4.52E+00,-4.12E-03,-4.17E-03
-4.52E+00,-4.12E-03,-1.22E-02
-4.51E+00,-4.12E-03,1.19E-02
-4.51E+00,3.92E-03,1.19E-02
-4.50E+00,3.92E-03,3.87E-03
-4.50E+00,-4.12E-03,3.87E-03
-4.49E+00,3.92E-03,3.87E-03
-4.49E+00,-4.12E-03,1.19E-02
-4.48E+00,3.92E-03,3.87E-03
-4.48E+00,3.92E-03,1.19E-02
-4.47E+00,3.92E-03,3.87E-03
-4.47E+00,-4.12E-03,3.87E-03
-4.46E+00,-1.22E-02,3.87E-03
-4.46E+00,-1.22E-02,1.19E-02
-4.45E+00,3.92E-03,2.00E-02
-4.45E+00,3.92E-03,2.00E-02
-4.44E+00,3.92E-03,1.19E-02
-4.44E+00,3.92E-03,3.87E-03
-4.43E+00,-4.12E-03,3.87E-03
-4.43E+00,-4.12E-03,1.19E-02
-4.42E+00,-4.12E-03,2.00E-02
-4.42E+00,3.92E-03,2.00E-02
-4.41E+00,-4.12E-03,1.19E-02
-4.41E+00,-4.12E-03,1.19E-02
-4.40E+00,-4.12E-03,1.19E-02
-4.40E+00,-4.12E-03,2.00E-02
-4.39E+00,3.92E-03,1.19E-02
-4.39E+00,1.20E-02,1.19E-02
-4.38E+00,3.92E-03,3.87E-03
-4.38E+00,-4.12E-03,-4.17E-03
-4.37E+00,-1.22E-02,3.87E-03
-4.37E+00,-4.12E-03,2.00E-02
-4.36E+00,-4.12E-03,2.00E-02
-4.36E+00,3.92E-03,1.19E-02
-4.35E+00,3.92E-03,3.87E-03
-4.35E+00,-4.12E-03,3.87E-03
-4.34E+00,-4.12E-03,3.87E-03
-4.34E+00,-4.12E-03,1.19E-02
-4.33E+00,3.92E-03,1.19E-02
-4.33E+00,3.92E-03,3.87E-03
-4.32E+00,-4.12E-03,3.87E-03
-4.32E+00,-4.12E-03,1.19E-02
-4.31E+00,-4.12E-03,1.19E-02
-4.31E+00,3.92E-03,2.00E-02
-4.30E+00,3.92E-03,1.19E-02
-4.30E+00,3.92E-03,1.19E-02
-4.29E+00,-4.12E-03,3.87E-03
-4.29E+00,-1.22E-02,3.87E-03
-4.28E+00,-1.22E-02,1.19E-02
-4.28E+00,-4.12E-03,1.19E-02
-4.27E+00,3.92E-03,1.19E-02
-4.27E+00,3.92E-03,1.19E-02
-4.26E+00,-4.12E-03,3.87E-03
-4.26E+00,-4.12E-03,3.87E-03
-4.25E+00,-4.12E-03,2.00E-02
-4.25E+00,3.92E-03,1.19E-02
-4.24E+00,3.92E-03,3.87E-03
-4.24E+00,3.92E-03,1.19E-02
-4.23E+00,-4.12E-03,1.19E-02
-4.23E+00,-4.12E-03,1.19E-02
-4.22E+00,3.92E-03,1.19E-02
-4.22E+00,3.92E-03,1.19E-02
-4.21E+00,3.92E-03,3.87E-03
-4.21E+00,-4.12E-03,1.19E-02
-4.20E+00,-4.12E-03,3.87E-03
-4.20E+00,-4.12E-03,3.87E-03
-4.19E+00,-4.12E-03,1.19E-02
-4.19E+00,-4.12E-03,1.19E-02
-4.18E+00,3.92E-03,3.87E-03
-4.18E+00,-4.12E-03,1.19E-02
-4.17E+00,-4.12E-03,1.19E-02
-4.17E+00,3.92E-03,1.19E-02
-4.16E+00,3.92E-03,1.19E-02
-4.16E+00,3.92E-03,3.87E-03
-4.15E+00,-4.12E-03,3.87E-03
-4.15E+00,-4.12E-03,3.87E-03
-4.14E+00,-1.22E-02,1.19E-02
-4.14E+00,3.92E-03,2.80E-02
-4.13E+00,1.20E-02,2.00E-02
-4.13E+00,3.92E-03,1.19E-02
-4.12E+00,-4.12E-03,3.87E-03
-4.12E+00,-4.12E-03,1.19E-02
-4.11E+00,-4.12E-03,1.19E-02
-4.11E+00,-4.12E-03,1.19E-02
-4.10E+00,-4.12E-03,1.19E-02
-4.10E+00,-4.12E-03,1.19E-02
-4.09E+00,-4.12E-03,1.19E-02
-4.09E+00,-4.12E-03,1.19E-02
-4.08E+00,3.92E-03,2.80E-02
-4.08E+00,1.20E-02,2.00E-02
-4.07E+00,3.92E-03,1.19E-02
-4.07E+00,-4.12E-03,3.87E-03
-4.06E+00,-1.22E-02,3.87E-03
-4.06E+00,-1.22E-02,2.00E-02
-4.05E+00,3.92E-03,2.00E-02
-4.05E+00,3.92E-03,1.19E-02
-4.04E+00,3.92E-03,1.19E-02
-4.04E+00,3.92E-03,3.87E-03
-4.03E+00,-4.12E-03,1.19E-02
-4.03E+00,-4.12E-03,2.00E-02
-4.02E+00,-4.12E-03,2.00E-02
-4.02E+00,3.92E-03,1.19E-02
-4.01E+00,-4.12E-03,3.87E-03
-4.01E+00,-1.22E-02,3.87E-03
-4.00E+00,-4.12E-03,1.19E-02
-4.00E+00,3.92E-03,2.00E-02
-3.99E+00,3.92E-03,2.00E-02
-3.99E+00,1.20E-02,1.19E-02
-3.98E+00,3.92E-03,1.19E-02
-3.98E+00,-1.22E-02,1.19E-02
-3.97E+00,-1.22E-02,1.19E-02
-3.97E+00,-4.12E-03,2.00E-02
-3.96E+00,3.92E-03,2.00E-02
-3.96E+00,3.92E-03,1.19E-02
-3.95E+00,-4.12E-03,3.87E-03
-3.95E+00,-1.22E-02,3.87E-03
-3.94E+00,3.92E-03,1.19E-02
-3.94E+00,3.92E-03,2.00E-02
-3.93E+00,3.92E-03,1.19E-02
-3.93E+00,-4.12E-03,3.87E-03
-3.92E+00,-1.22E-02,3.87E-03
-3.92E+00,-1.22E-02,1.19E-02
-3.91E+00,-4.12E-03,2.00E-02
-3.91E+00,3.92E-03,2.80E-02
-3.90E+00,1.20E-02,1.19E-02
-3.90E+00,3.92E-03,3.87E-03
-3.89E+00,-4.12E-03,3.87E-03
-3.89E+00,-4.12E-03,1.19E-02
-3.88E+00,-1.22E-02,1.19E-02
-3.88E+00,-4.12E-03,2.00E-02
-3.87E+00,3.92E-03,1.19E-02
-3.87E+00,-4.12E-03,3.87E-03
-3.86E+00,-4.12E-03,1.19E-02
-3.86E+00,-4.12E-03,1.19E-02
-3.85E+00,3.92E-03,2.00E-02
-3.85E+00,3.92E-03,1.19E-02
-3.84E+00,3.92E-03,1.19E-02
-3.84E+00,-1.22E-02,3.87E-03
-3.83E+00,-1.22E-02,3.87E-03
-3.83E+00,-1.22E-02,1.19E-02
-3.82E+00,3.92E-03,2.00E-02
-3.82E+00,3.92E-03,1.19E-02
-3.81E+00,3.92E-03,3.87E-03
-3.81E+00,-4.12E-03,3.87E-03
-3.80E+00,-4.12E-03,1.19E-02
-3.80E+00,-4.12E-03,1.19E-02
-3.79E+00,3.92E-03,2.00E-02
-3.79E+00,1.20E-02,1.19E-02
-3.78E+00,3.92E-03,3.87E-03
-3.78E+00,-4.12E-03,3.87E-03
-3.77E+00,-4.12E-03,1.19E-02
-3.77E+00,-4.12E-03,1.19E-02
-3.76E+00,3.92E-03,2.00E-02
-3.76E+00,3.92E-03,1.19E-02
-3.75E+00,-4.12E-03,-4.17E-03
-3.75E+00,-1.22E-02,3.87E-03
-3.74E+00,-1.22E-02,1.19E-02
-3.74E+00,3.92E-03,1.19E-02
-3.73E+00,3.92E-03,2.00E-02
-3.73E+00,3.92E-03,1.19E-02
-3.72E+00,3.92E-03,3.87E-03
-3.72E+00,-4.12E-03,1.19E-02
-3.71E+00,-4.12E-03,1.19E-02
-3.71E+00,-4.12E-03,1.19E-02
-3.70E+00,3.92E-03,1.19E-02
-3.70E+00,-4.12E-03,3.87E-03
-3.69E+00,-4.12E-03,1.19E-02
-3.69E+00,3.92E-03,1.19E-02
-3.68E+00,3.92E-03,1.19E-02
-3.68E+00,3.92E-03,2.00E-02
-3.67E+00,3.92E-03,1.19E-02
-3.67E+00,-4.12E-03,3.87E-03
-3.66E+00,-1.22E-02,3.87E-03
-3.66E+00,-4.12E-03,3.87E-03
-3.65E+00,-4.12E-03,1.19E-02
-3.65E+00,3.92E-03,2.00E-02
-3.64E+00,3.92E-03,1.19E-02
-3.64E+00,3.92E-03,3.87E-03
-3.63E+00,-4.12E-03,3.87E-03
-3.63E+00,-4.12E-03,1.19E-02
-3.62E+00,3.92E-03,1.19E-02
-3.62E+00,3.92E-03,1.19E-02
-3.61E+00,-4.12E-03,3.87E-03
-3.61E+00,-4.12E-03,3.87E-03
-3.60E+00,-4.12E-03,3.87E-03
-3.60E+00,3.92E-03,1.19E-02
-3.59E+00,3.92E-03,2.00E-02
-3.59E+00,3.92E-03,1.19E-02
-3.58E+00,-4.12E-03,3.87E-03
-3.58E+00,-4.12E-03,3.87E-03
-3.57E+00,-1.22E-02,3.87E-03
-3.57E+00,-4.12E-03,1.19E-02
-3.56E+00,-4.12E-03,3.87E-03
-3.56E+00,3.92E-03,1.19E-02
-3.55E+00,-4.12E-03,1.19E-02
-3.55E+00,3.92E-03,1.19E-02
-3.54E+00,3.92E-03,1.19E-02
-3.54E+00,3.92E-03,1.19E-02
-3.53E+00,3.92E-03,1.19E-02
-3.53E+00,-4.12E-03,1.19E-02
-3.52E+00,-4.12E-03,3.87E-03
-3.52E+00,-4.12E-03,1.19E-02
-3.51E+00,3.92E-03,2.00E-02
-3.51E+00,1.20E-02,2.00E-02
-3.50E+00,3.92E-03,1.19E-02
-3.50E+00,-4.12E-03,1.19E-02
-3.49E+00,-4.12E-03,1.19E-02
-3.49E+00,-4.12E-03,1.19E-02
-3.48E+00,-4.12E-03,1.19E-02
-3.48E+00,-4.12E-03,3.87E-03
-3.47E+00,-4.12E-03,3.87E-03
-3.47E+00,-4.12E-03,1.19E-02
-3.46E+00,-4.12E-03,1.19E-02
-3.46E+00,3.92E-03,2.00E-02
-3.45E+00,3.92E-03,2.00E-02
-3.45E+00,3.92E-03,1.19E-02
-3.44E+00,-4.12E-03,1.19E-02
-3.44E+00,-4.12E-03,3.87E-03
-3.43E+00,-1.22E-02,1.19E-02
-3.43E+00,3.92E-03,1.19E-02
-3.42E+00,3.92E-03,1.19E-02
-3.42E+00,3.92E-03,2.00E-02
-3.41E+00,3.92E-03,3.87E-03
-3.41E+00,-4.12E-03,3.87E-03
-3.40E+00,-4.12E-03,1.19E-02
-3.40E+00,-4.12E-03,1.19E-02
-3.39E+00,-4.12E-03,1.19E-02
-3.39E+00,-4.12E-03,3.87E-03
-3.38E+00,-1.22E-02,1.19E-02
-3.38E+00,-4.12E-03,1.19E-02
-3.37E+00,-4.12E-03,2.00E-02
-3.37E+00,1.20E-02,1.19E-02
-3.36E+00,3.92E-03,1.19E-02
-3.36E+00,-4.12E-03,3.87E-03
-3.35E+00,-4.12E-03,-4.17E-03
-3.35E+00,-4.12E-03,3.87E-03
-3.34E+00,-4.12E-03,2.00E-02
-3.34E+00,3.92E-03,1.19E-02
-3.33E+00,3.92E-03,3.87E-03
-3.33E+00,-4.12E-03,1.19E-02
-3.32E+00,-4.12E-03,1.19E-02
-3.32E+00,-4.12E-03,1.19E-02
-3.31E+00,3.92E-03,1.19E-02
-3.31E+00,-4.12E-03,1.19E-02
-3.30E+00,-4.12E-03,3.87E-03
-3.30E+00,-1.22E-02,-4.17E-03
-3.29E+00,-1.22E-02,3.87E-03
-3.29E+00,-4.12E-03,2.00E-02
-3.28E+00,3.92E-03,2.00E-02
-3.28E+00,1.20E-02,1.19E-02
-3.27E+00,3.92E-03,3.87E-03
-3.27E+00,-4.12E-03,-4.17E-03
-3.26E+00,-4.12E-03,3.87E-03
-3.26E+00,-4.12E-03,1.19E-02
-3.25E+00,3.92E-03,1.19E-02
-3.25E+00,3.92E-03,1.19E-02
-3.24E+00,-4.12E-03,3.87E-03
-3.24E+00,-4.12E-03,1.19E-02
-3.23E+00,-4.12E-03,1.19E-02
-3.23E+00,-4.12E-03,2.00E-02
-3.22E+00,3.92E-03,3.87E-03
-3.22E+00,-4.12E-03,3.87E-03
-3.21E+00,-4.12E-03,3.87E-03
-3.21E+00,-1.22E-02,3.87E-03
-3.20E+00,-4.12E-03,1.19E-02
-3.20E+00,3.92E-03,2.00E-02
-3.19E+00,3.92E-03,1.19E-02
-3.19E+00,3.92E-03,1.19E-02
-3.18E+00,-4.12E-03,3.87E-03
-3.18E+00,-4.12E-03,1.19E-02
-3.17E+00,-4.12E-03,2.00E-02
-3.17E+00,3.92E-03,1.19E-02
-3.16E+00,3.92E-03,1.19E-02
-3.16E+00,3.92E-03,3.87E-03
-3.15E+00,-4.12E-03,3.87E-03
-3.15E+00,-4.12E-03,2.00E-02
-3.14E+00,3.92E-03,2.00E-02
-3.14E+00,3.92E-03,2.00E-02
-3.13E+00,3.92E-03,1.19E-02
-3.13E+00,-4.12E-03,3.87E-03
-3.12E+00,-1.22E-02,3.87E-03
-3.12E+00,-1.22E-02,1.19E-02
-3.11E+00,-4.12E-03,2.00E-02
-3.11E+00,3.92E-03,1.19E-02
-3.10E+00,3.92E-03,1.19E-02
-3.10E+00,-4.12E-03,3.87E-03
-3.09E+00,-4.12E-03,3.87E-03
-3.09E+00,-4.12E-03,1.19E-02
-3.08E+00,3.92E-03,1.19E-02
-3.08E+00,3.92E-03,1.19E-02
-3.07E+00,-4.12E-03,3.87E-03
-3.07E+00,-4.12E-03,3.87E-03
-3.06E+00,-4.12E-03,1.19E-02
-3.06E+00,3.92E-03,2.00E-02
-3.05E+00,1.20E-02,1.19E-02
-3.05E+00,3.92E-03,3.87E-03
-3.04E+00,-4.12E-03,3.87E-03
-3.04E+00,-1.22E-02,3.87E-03
-3.03E+00,-4.12E-03,2.00E-02
-3.03E+00,-4.12E-03,1.19E-02
-3.02E+00,-4.12E-03,1.19E-02
-3.02E+00,-4.12E-03,3.87E-03
-3.01E+00,-4.12E-03,3.87E-03
-3.01E+00,-4.12E-03,1.19E-02
-3.00E+00,3.92E-03,2.00E-02
-3.00E+00,3.92E-03,2.00E-02
-2.99E+00,3.92E-03,3.87E-03
-2.99E+00,-4.12E-03,3.87E-03
-2.98E+00,-1.22E-02,1.19E-02
-2.98E+00,-4.12E-03,2.00E-02
-2.97E+00,3.92E-03,2.00E-02
-2.97E+00,3.92E-03,2.00E-02
-2.96E+00,3.92E-03,1.19E-02
-2.96E+00,3.92E-03,3.87E-03
-2.95E+00,-4.12E-03,3.87E-03
-2.95E+00,-4.12E-03,1.19E-02
-2.94E+00,-4.12E-03,1.19E-02
-2.94E+00,-4.12E-03,1.19E-02
-2.93E+00,-4.12E-03,1.19E-02
-2.93E+00,-4.12E-03,1.19E-02
-2.92E+00,3.92E-03,2.00E-02
-2.92E+00,3.92E-03,1.19E-02
-2.91E+00,3.92E-03,1.19E-02
-2.91E+00,3.92E-03,1.19E-02
-2.90E+00,-4.12E-03,3.87E-03
-2.90E+00,-1.22E-02,1.19E-02
-2.89E+00,-4.12E-03,1.19E-02
-2.89E+00,-4.12E-03,1.19E-02
-2.88E+00,3.92E-03,2.00E-02
-2.88E+00,3.92E-03,1.19E-02
-2.87E+00,3.92E-03,3.87E-03
-2.87E+00,-4.12E-03,1.19E-02
-2.86E+00,-4.12E-03,1.19E-02
-2.86E+00,-4.12E-03,1.19E-02
-2.85E+00,-4.12E-03,3.87E-03
-2.85E+00,-4.12E-03,3.87E-03
-2.84E+00,-1.22E-02,1.19E-02
-2.84E+00,-4.12E-03,1.19E-02
-2.83E+00,3.92E-03,2.00E-02
-2.83E+00,3.92E-03,2.00E-02
-2.82E+00,3.92E-03,1.19E-02
-2.82E+00,3.92E-03,3.87E-03
-2.81E+00,-4.12E-03,3.87E-03
-2.81E+00,-4.12E-03,1.19E-02
-2.80E+00,3.92E-03,2.00E-02
-2.80E+00,3.92E-03,1.19E-02
-2.79E+00,3.92E-03,1.19E-02
-2.79E+00,-4.12E-03,3.87E-03
-2.78E+00,-4.12E-03,3.87E-03
-2.78E+00,-4.12E-03,2.00E-02
-2.77E+00,-4.12E-03,2.00E-02
-2.77E+00,-4.12E-03,1.19E-02
-2.76E+00,-4.12E-03,3.87E-03
-2.76E+00,-1.22E-02,3.87E-03
-2.75E+00,-1.22E-02,1.19E-02
-2.75E+00,3.92E-03,1.19E-02
-2.74E+00,3.92E-03,2.00E-02
-2.74E+00,3.92E-03,1.19E-02
-2.73E+00,-4.12E-03,3.87E-03
-2.73E+00,-4.12E-03,3.87E-03
-2.72E+00,-4.12E-03,1.19E-02
-2.72E+00,-4.12E-03,2.00E-02
-2.71E+00,3.92E-03,2.00E-02
-2.71E+00,3.92E-03,1.19E-02
-2.70E+00,-4.12E-03,3.87E-03
-2.70E+00,-4.12E-03,1.19E-02
-2.69E+00,-4.12E-03,1.19E-02
-2.69E+00,-4.12E-03,2.00E-02
-2.68E+00,3.92E-03,1.19E-02
-2.68E+00,-4.12E-03,3.87E-03
-2.67E+00,-1.22E-02,3.87E-03
-2.67E+00,-1.22E-02,3.87E-03
-2.66E+00,-4.12E-03,2.00E-02
-2.66E+00,1.20E-02,2.00E-02
-2.65E+00,1.20E-02,1.19E-02
-2.65E+00,3.92E-03,3.87E-03
-2.64E+00,-4.12E-03,3.87E-03
-2.64E+00,-1.22E-02,3.87E-03
-2.63E+00,-4.12E-03,1.19E-02
-2.63E+00,3.92E-03,2.00E-02
-2.62E+00,3.92E-03,1.19E-02
-2.62E+00,-4.12E-03,3.87E-03
-2.61E+00,-1.22E-02,1.19E-02
-2.61E+00,-4.12E-03,1.19E-02
-2.60E+00,3.92E-03,2.00E-02
-2.60E+00,3.92E-03,1.19E-02
-2.59E+00,3.92E-03,3.87E-03
-2.59E+00,-4.12E-03,3.87E-03
-2.58E+00,-2.02E-02,3.87E-03
-2.58E+00,-4.12E-03,1.19E-02
-2.57E+00,3.92E-03,2.00E-02
-2.57E+00,3.92E-03,1.19E-02
-2.56E+00,3.92E-03,1.19E-02
-2.56E+00,3.92E-03,3.87E-03
-2.55E+00,-4.12E-03,1.19E-02
-2.55E+00,-4.12E-03,1.19E-02
-2.54E+00,3.92E-03,2.00E-02
